Brand,Model,Year,Attrebutes,Miles(k miles),Registration,Control,Fuel,Location,Price(£)
Land Rover,Range Rover Sport,2010.0,(60) - 3.0 TD V6 HSE CommandShift 4WD Euro 5 5dr,75,2010 (60 reg),Auto,Diesel,Wakefield ,6795
Rover,45,2003.0,(53) - 1.8i Impression 5dr Auto,45,2003 (53 reg),Auto,Petrol,Bradford ,695
BMW,iX3,2022.0,(22) - 80kWh M Sport Auto 5dr,50,2022 (22 reg),Auto,Electric,Halifax ,23490
Toyota,AYGO,2013.0,(63) - 1.0 VVT-i Move Euro 5 5dr,62,2013 (63 reg),Manual,Petrol,Sheffield ,3695
Nissan,Juke,2013.0,(63) - 1.6 Visia SUV 5dr Petrol Manual Euro 5 (94 ps),102,2013 (63 reg),Manual,Petrol,Bradford ,2490
Hyundai,i30,2009.0,(59) - 1.4 Comfort 5dr,75,2009 (59 reg),Manual,Petrol,Northowram ,850
MG,MG S5,2025.0,(25) - 64kWh Trophy Long Range Auto 5dr,10,2025 (25 reg),Auto,Electric,Hyde ,25995
Vauxhall,Corsa,2015.0,(65) - 1.4 ecoFLEX SE 5dr,144,2015 (65 reg),Manual,Petrol,Keighley West ,1989
Mercedes-Benz,C-Class,2016.0,- C200d SE Executive 4dr Auto,75,2016 (66 reg),Auto,Diesel,Rotherham ,8995
BMW,3 Series,2020.0,(20) - 3.0 M340i Touring 5dr Petrol Auto xDrive Euro 6 (s/s) (374 ps),25,2020 (20 reg),Auto,Petrol,Oldham ,38449
Nissan,Qashqai,2008.0,(58) - 1.6 Acenta 5dr,178,2008 (58 reg),Manual,Petrol,Bradford ,895
Land Rover,Defender,2012.0,(62) - XS Double Cab PickUp TDCi [2.2],87,2012 (62 reg),Manual,Diesel,"Cleckheaton, Scholes ",24990
Skoda,Fabia,2013.0,(13) - 1.6 TDI Monte Carlo TECH Euro 5 5dr,116,2013 (13 reg),Manual,Diesel,Rotherham ,2950
Land Rover,Defender,2014.0,(64) - XS Double Cab PickUp TDCi [2.2],10,2014 (64 reg),Manual,Diesel,"Cleckheaton, Scholes ",59990
Ssangyong,Tivoli,2019.0,(19) - 1.6 e-XGi Ultimate Euro 6 (s/s) 5dr,57,2019 (19 reg),Manual,Petrol,Leeds ,6995
Toyota,AYGO,2013.0,(63) - 1.0 VVT-i Mode Euro 5 5dr,86,2013 (63 reg),Manual,Petrol,Oldham ,2995
Toyota,AYGO,2015.0,(15) - 1.0 VVT-i x-play Euro 5 5dr Euro 5,96,2015 (15 reg),Manual,Petrol,Wakefield ,3695
MG,MG S5,2025.0,(25) - 64kWh Trophy Long Range SUV 5dr Electric Auto (231 ps),10,2025 (25 reg),Auto,Electric,Chesterfield ,24790
Vauxhall,Mokka X,2017.0,(17) - 1.4i Turbo Active SUV 5dr Petrol Manual Euro 6 (s/s) (140 ps),95,2017 (17 reg),Manual,Petrol,Barnsley ,3999
Volkswagen,Golf,2018.0,(67) - 2.0 TDI 184 GTD BlueLine 5dr DSG,118,2018 (67 reg),Auto,Diesel,Boroughbridge ,10500
Ford,S-Max,2014.0,- 2.0 TDCi 140 Titanium 5dr Powershift,149,2014 (14 reg),Auto,Diesel,Ossett ,1995
Toyota,AYGO,2016.0,(66) - 1.0 VVT-i x Euro 5 3dr Euro 5,59,2016 (66 reg),Manual,Petrol,Sheffield ,4495
Volvo,XC70,2007.0,- 2.4 D5 SE 5dr Geartronic [185],194,2007 (7 reg),Auto,Diesel,Ossett ,1295
Skoda,Octavia,2014.0,- 1.6 TDI S 5-Door,137,2014 (14 reg),Manual,Diesel,Sheffield ,3795
BMW,X3,2022.0,(22) - xDrive20d MHT M Sport 5dr Step Auto,55,2022 (22 reg),Auto,Diesel,Bradford ,30490
BMW,1 Series,2018.0,(18) - M140i Shadow Edition 5dr Step Auto,46,2018 (18 reg),Auto,Petrol,Bradford ,22990
Vauxhall,Astra,2009.0,(09) - 1.4i 16V SXi 3dr,100,2009 (9 reg),Manual,Petrol,Sheffield ,995
Mercedes-Benz,E-Class,2019.0,(19) - 2.0 E220d AMG Line Premium Plus G-Tronic+ Euro 6 (s/s) (194 ps) 2-Door,30,2019 (19 reg),Auto,Diesel,Oldham ,25449
Mazda,CX-80,2025.0,(25) - 3.3 e-SKYACTIV D MHEV Takumi Plus Auto 4WD Euro 6 (s/s) 5dr,3,2025 (25 reg),Auto,Hybrid,Harrogate ,46490
BMW,2 Series,2018.0,- 230i M Sport 2dr [Nav] Step Auto,45,2018 (18 reg),Auto,Petrol,Rotherham ,15995
MG,MG ZS,2020.0,(70) - 1.0 T-GDI Exclusive Auto Euro 6 5dr,75,2020 (70 reg),Auto,Petrol,Leeds ,10680
Vauxhall,Astra,2012.0,(62) - 1.7 CDTi ecoFLEX Exclusiv Sports Tourer Euro 5 (s/s) 5dr,96,2012 (62 reg),Manual,Diesel,Halifax ,1500
SEAT,Alhambra,2017.0,(67) - 2.0 TDI XCELLENCE DSG Euro 6 (s/s) 5dr,81,2017 (67 reg),Auto,Diesel,Bradford ,13990
MG,MG S5,2025.0,- 125kW SE EV 49kWh 5dr Auto,8,2025 (25 reg),Auto,Electric,Huddersfield ,21799
MG,MG S5,2025.0,- 125kW SE EV 49kWh 5dr Auto,7,2025 (25 reg),Auto,Electric,Huddersfield ,21799
Land Rover,Range Rover Sport,2009.0,"(09) - 2.7 TD V6 Stormer SE SUV 5dr Diesel Automatic (265 g/km, 187 bhp)",136,2009 (9 reg),Auto,Diesel,Bradford ,3000
Toyota,AYGO,2012.0,- 1.0 VVT-i Fire NAV 3dr Hatchback A/C,47,2012 (12 reg),Manual,Petrol,Swinton ,2950
Dacia,Sandero,2017.0,(17) - 1.0 SCe Ambiance 5dr,69,2017 (17 reg),Manual,Petrol,Sheffield ,3695
Ford,Fiesta,2017.0,(67) - 1.0 EcoBoost Zetec 5dr Powershift,62,2017 (67 reg),Auto,Petrol,Dewsbury ,5995
BMW,X1,2021.0,- xDrive 25e M Sport 5dr Auto,21,2021 (71 reg),Auto,Not Supplied,Leeds ,23499
Toyota,AYGO,2008.0,(08) - 1.0 VVT-i Platinum 3dr,87,2008 (8 reg),Manual,Petrol,Greasborough ,1895
Volkswagen,Golf,2008.0,(58) - 2.0 TDi 140 GT 5dr,137,2008 (58 reg),Manual,Diesel,Ecclesfield ,1600
Peugeot,208,2025.0,- 1.2 Hybrid 110 Allure 5dr e-DSC6,1,2025 (25 reg),Auto,Hybrid,Sheffield ,18999
BMW,X3,2019.0,- xDrive20d M Sport 5dr Step Auto,47,2019 (69 reg),Auto,Diesel,Chesterfield ,24990
Land Rover,Defender,2009.0,(59) - XS Station Wagon TDCi,116,2009 (59 reg),Manual,Diesel,"Cleckheaton, Scholes ",19990
BMW,X3,2022.0,- xDrive30d MHT M Sport 5dr Auto,20,2022 (22 reg),Auto,Diesel,Leeds ,38299
BMW,3 Series,2017.0,"- 340i M SPORT [4X SERVICES, SAT NAV, LEATHER & HK SPEAKERS] 4-Door",50,2017 (17 reg),Auto,Petrol,Leeds ,19485
Volkswagen,Polo,2019.0,(19) - 2.0 TSI GTI+ 5dr DSG,46,2019 (19 reg),Auto,Petrol,Rochdale ,11995
Toyota,Yaris,2007.0,(07) - 1.0 VVT-i T2 5dr,110,2007 (7 reg),Manual,Petrol,Keighley ,995
Nissan,Qashqai,2012.0,(62) - 1.5 dCi Tekna 2WD Euro 5 5dr (AVM),91,2012 (62 reg),Manual,Diesel,Sheffield ,3499
BMW,X5,2021.0,- xDrive40i MHT M Sport 5dr Auto,42,2021 (21 reg),Auto,Petrol,Leeds ,40299
Suzuki,Ignis,2018.0,(18) - 1.2 Dualjet Adventure 5dr,31,2018 (18 reg),Manual,Petrol,Rochdale ,6399
Peugeot,208,2025.0,- 1.2 Hybrid 110 Allure 5dr e-DSC6,0,2025 (25 reg),Auto,Hybrid,Castleford ,18999
Peugeot,208,2025.0,- 1.2 Hybrid 110 Allure 5dr e-DSC6,0,2025 (25 reg),Auto,Hybrid,Castleford ,18999
Volkswagen,Passat,2019.0,(19) - 1.5 TSI EVO SE Business Euro 6 (s/s) 4dr,166,2019 (19 reg),Manual,Petrol,Keighley ,4989
Lexus,GS,2012.0,(62) - 250 2.5 V6 F-Sport Auto 4-Door,99,2012 (62 reg),Auto,Petrol,Wakefield ,7990
Porsche,Macan,2022.0,- T V6 GTS 5-Door,47,2022 (22 reg),Auto,Petrol,Cleckheaton ,56495
Dacia,Duster,2013.0,- 1.5 dCi 110 Ambiance 5dr PART EXCHANGE TO CLEAR,126,2013 (13 reg),Manual,Diesel,Scunthorpe ,1995
BMW,4 Series,2022.0,"- 420i M SPORT GRAN COUPE [LOW MILES, SAT NAV, LEATHER & HEATED SEATS] 4-Door",12,2022 (71 reg),Auto,Petrol,Leeds ,27385
Ford,Fiesta,2014.0,(14) - 1.25 Zetec Hatchback 3dr Petrol Manual Euro 5 (82 ps),103,2014 (14 reg),Manual,Petrol,Barnsley ,2350
MINI,Hatch,2011.0,- 1.6 Cooper D 3dr -AUGUST 2026 MOT-,124,2011 (11 reg),Manual,Diesel,Castleford ,1690
Fiat,500,2016.0,(66) - 1.2 Lounge Hatchback 3dr Petrol Manual Euro 6 (s/s) (69 bhp),116,2016 (66 reg),Manual,Petrol,Barnsley ,2850
Ford,Fiesta,2017.0,(66) - 1.25 82 Zetec 3dr,67,2017 (66 reg),Manual,Petrol,Northowram ,2495
SEAT,Leon,2018.0,(18) - 2.0 TSI Cupra 300 DSG Euro 6 (s/s) 5dr,50,2018 (18 reg),Auto,Petrol,Shipley ,17495
Ford,Fiesta,2012.0,"(12) - 1.25 Zetec Hatchback 3dr Petrol Manual (129 g/km, 81 bhp)",83,2012 (12 reg),Manual,Petrol,Barnsley ,2450
Ford,Ka,2012.0,(12) - 1.2 Zetec Hatchback 3dr Petrol Manual Euro 5 (s/s) (69 ps),48,2012 (12 reg),Manual,Petrol,Barnsley ,2450
Vauxhall,Insignia,2013.0,(13) - 1.8 16V SRi Euro 5 5dr,78,2013 (13 reg),Manual,Petrol,Oldham ,2295
Tesla,Model 3,2020.0,"- PERFORMANCE AWD [SAT NAV, LEATHER, HEATED SEATS, PANORAMIC ROOF & REVERSE C 4-Door",46,2020 (20 reg),Auto,Electric,Leeds ,18685
Hyundai,Getz,2008.0,- 1.1 GSi 5-Door,75,2008 (8 reg),Manual,Petrol,Sheffield ,1395
Fiat,500,2013.0,(13) - 1.2 S Hatchback 3dr Petrol Manual Euro 5 (s/s) (69 bhp),80,2013 (13 reg),Manual,Petrol,Barnsley ,2650
Peugeot,308 SW,2009.0,"(59) - 2.0 HDi FAP Sport Estate 5dr Diesel Manual (155 g/km, 136 bhp)",113,2009 (59 reg),Manual,Diesel,Barnsley ,1495
Chevrolet,Orlando,2012.0,(12) - 2.0 VCDi LTZ Auto Euro 5 5dr,63,2012 (12 reg),Auto,Diesel,Wakefield ,995
Ford,Fiesta,2011.0,"(11) - 1.25 Zetec Hatchback 3dr Petrol Manual (129 g/km, 81 bhp)",80,2011 (11 reg),Manual,Petrol,Barnsley ,2250
BMW,X7,2020.0,(70) - xDrive30d M Sport 5dr Step Auto,68,2020 (70 reg),Auto,Diesel,Rochdale ,50990
Fiat,500,2011.0,(61) - 1.2 Lounge Hatchback 3dr Petrol Manual Euro 5 (s/s) (69 bhp),65,2011 (61 reg),Manual,Petrol,Barnsley ,2450
Nissan,Juke,2016.0,- 1.6 DIG-T Nismo RS XTRON 4WD Euro 6 5dr,59,2016 (66 reg),Auto,Petrol,Sheffield ,9390
Vauxhall,Astra,2012.0,(12) - 1.6 16v Elite Hatchback 5dr Petrol Manual Euro 5 (115 ps),85,2012 (12 reg),Manual,Petrol,Barnsley ,1999
Ford,Fiesta,2018.0,(18) - 1.1 Ti-VCT Zetec Euro 6 (s/s) 5dr,70,2018 (18 reg),Manual,Petrol,Leeds ,6340
Jaguar,XE,2016.0,(16) - 2.0d Portfolio Auto Euro 6 (s/s) 4dr,201,2016 (16 reg),Auto,Diesel,Keighley ,1200
Audi,A4,1998.0,(S) - 1.9 TDi SE 4dr,123,1998 (S),Manual,Diesel,Bradford ,1250
Vauxhall,Astra,2010.0,(59) - 1.6 16v Exclusiv Hatchback 5dr Petrol Manual Euro 5 (115 ps),52,2010 (59 reg),Manual,Petrol,Barnsley ,2250
Alfa Romeo,MiTo,2009.0,(09) - 1.4 16V Veloce Hatchback 3dr Petrol Manual Euro 4 (95 bhp),92,2009 (9 reg),Manual,Petrol,Barnsley ,1495
Ford,Fiesta,2007.0,"(07) - 1.25 Zetec Climate Hatchback 3dr Petrol Manual (142 g/km, 74 bhp)",86,2007 (7 reg),Manual,Petrol,Bradford ,890
Volvo,EX30,2025.0,"(25) - Ultra, Single Motor Extended Range, Electric 5-Door",400,2025 (25 reg),Auto,Electric,Knaresborough ,31926
Fiat,Punto,2014.0,(64) - 1.4 Jet Black II Hatchback 3dr Petrol Euro 6 (s/s) (77 bhp),61,2014 (64 reg),Manual,Petrol,Barnsley ,2450
Ford,Ka,2010.0,(60) - 1.2 Titanium Hatchback 3dr Petrol Manual Euro 4 (69 ps),76,2010 (60 reg),Manual,Petrol,Barnsley ,1695
Volkswagen,Tiguan,2014.0,(0R) - 2.0 TDI BlueMotion Tech Match SUV 5dr Diesel DSG 4WD Euro 5 (s/s) (140 ps),43,2014 (64 reg),Auto,Diesel,Leeds ,10795
Fiat,500,2008.0,(58) - 1.2 Pop Hatchback 3dr Petrol Manual Euro 4 (69 bhp),97,2008 (58 reg),Manual,Petrol,Barnsley ,1595
Nissan,Micra,2012.0,(61) - 1.2 DiG-S Acenta 5dr,102,2012 (61 reg),Manual,Petrol,Cleckheaton ,675
BMW,X5,2015.0,(65) - xDrive40e M Sport 5dr Auto,94,2015 (65 reg),Auto,Hybrid,Rotherham ,16490
BMW,X5,2016.0,(65) - xDrive40d M Sport 5dr Auto [7 Seat],57,2016 (65 reg),Auto,Diesel,Bradford ,21990
Ford,Fiesta,2011.0,"(61) - 1.4 Zetec Hatchback 3dr Petrol Manual (133 g/km, 94 bhp)",113,2011 (61 reg),Manual,Petrol,Barnsley ,1695
Ford,Focus,2015.0,(65) - 1.5 TDCi 120 Zetec 5dr,174,2015 (65 reg),Manual,Diesel,Northowram ,2495
Vauxhall,Corsa,2024.0,- 1.2 Turbo Ultimate 5dr,272,2024 (24 reg),Manual,Petrol,Chesterfield ,19298
Audi,A5,2012.0,(12) - 2.0 TDI 177 S Line 2-Door,99,2012 (12 reg),Manual,Diesel,Wakefield ,4999
Vauxhall,Corsa,2011.0,(61) - 1.2 16V SXi Hatchback 5dr Petrol Manual Euro 5 (A/C) (85 ps),61,2011 (61 reg),Manual,Petrol,Barnsley ,1999
Vauxhall,Adam,2013.0,(63) - 1.2 16v JAM Hatchback 3dr Petrol Manual Euro 5 (70 ps),127,2013 (63 reg),Manual,Petrol,Barnsley ,1999
Peugeot,3008,2010.0,(10) - 1.6 HDi Sport 5dr,141,2010 (10 reg),Manual,Diesel,Sheffield ,1495
Ford,Fiesta,2011.0,"(60) - 1.25 Zetec Hatchback 3dr Petrol Manual (129 g/km, 81 bhp)",90,2011 (60 reg),Manual,Petrol,Barnsley ,1795
Ford,C-Max,2014.0,(14) - 1.6 TDCi Zetec Euro 5 5dr,92,2014 (14 reg),Manual,Diesel,Wakefield ,3295
Volkswagen,Passat,2014.0,(64) - 2.0 TDI BlueMotion Tech Alltrack 4Motion Euro 5 (s/s) 5dr,123,2014 (64 reg),Manual,Diesel,Halifax ,5795
Nissan,Qashqai,2017.0,(66) - 1.5 dCi Acenta [Smart Vision Pack] 5dr,49,2017 (66 reg),Manual,Diesel,Bramham ,7995
Ford,Ka,2010.0,(60) - 1.2 Studio Hatchback 3dr Petrol Manual Euro 4 (69 ps),71,2010 (60 reg),Manual,Petrol,Barnsley ,1595
Ford,Ka,2012.0,(62) - 1.2 Edge Hatchback 3dr Petrol Manual Euro 5 (s/s) (69 ps),85,2012 (62 reg),Manual,Petrol,Barnsley ,1495
MINI,Hatch,2012.0,(62) - 1.6 Cooper D Hatchback 3dr Diesel Manual Euro 5 (s/s) (112 ps),158,2012 (62 reg),Manual,Diesel,Barnsley ,1495
Ford,Ka,2013.0,(62) - 1.2 Edge Hatchback 3dr Petrol Manual Euro 5 (s/s) (69 ps),91,2013 (62 reg),Manual,Petrol,Barnsley ,1495
Citroen,C3,2008.0,"(57) - 1.4i Cool Hatchback 5dr Petrol Manual (145 g/km, 72 bhp)",37,2008 (57 reg),Manual,Petrol,Barnsley ,1495
SEAT,Leon,2021.0,(21) - 1.5 TSI EVO FR Euro 6 (s/s) 5dr,132,2021 (21 reg),Manual,Petrol,Keighley ,6989
Skoda,Fabia,2008.0,(08) - 1.4 16V 2 5dr,78,2008 (8 reg),Manual,Petrol,Rochdale ,1150
Suzuki,Swift,2017.0,- 1.0 Boosterjet SZ-T 5-Door,47,2017 (67 reg),Manual,Petrol,Sheffield ,7400
Peugeot,3008,2012.0,(62) - 1.6 HDi Active SUV 5dr Diesel Manual Euro 5 (112 ps),158,2012 (62 reg),Manual,Diesel,Barnsley ,1295
Volkswagen,Polo,2017.0,(17) - 1.2 TSI BlueMotion Tech Match Edition Euro 6 (s/s) 5dr,90,2017 (17 reg),Manual,Petrol,Doncaster ,6495
Toyota,AYGO,2007.0,(07) - 1.0 VVT-i Blue 3dr,86,2007 (7 reg),Manual,Petrol,Leeds ,995
Ford,Ka,2016.0,(16) - 1.2 Zetec Black Edition Hatchback 3dr Petrol Manual Euro 6 (s/s) (69 ps),104,2016 (16 reg),Manual,Petrol,Barnsley ,2250
Volkswagen,Tiguan,2017.0,(17) - 1.4 TSi 150 SE 5dr,62,2017 (17 reg),Manual,Petrol,Cleckheaton ,10495
Ford,Fiesta,2008.0,(58) - 1.25 Zetec 3dr [82],105,2008 (58 reg),Manual,Petrol,Northowram ,1150
Audi,A7,2011.0,(11) - 3.0 TDI V6 Quattro DSG 5-Door,149,2011 (11 reg),Auto,Diesel,Wakefield ,4999
Fiat,500,2015.0,(65) - 1.2 Lounge 3dr [Start Stop],103,2015 (65 reg),Manual,Petrol,Leeds ,2995
Fiat,500,2013.0,- 1.2 Lounge 3dr [Start Stop] ## £35 ROAD TAX - STUNNING CAR ##,46,2013 (63 reg),Manual,Petrol,Wakefield ,4290
Fiat,Panda,2009.0,"(09) - 1.1 ECO Active Hatchback 5dr Petrol Manual (119 g/km, 54 bhp)",93,2009 (9 reg),Manual,Petrol,Barnsley ,999
Skoda,Fabia,2010.0,(10) - 1.6 TDI SE Estate 5dr Diesel Manual Euro 5 (105 ps),139,2010 (10 reg),Manual,Diesel,Barnsley ,1495
BMW,2 Series Active Tourer,2017.0,- 218d M Sport 5dr [Nav] Step Auto -FULL BMW SERVICE HISTORY-,44,2017 (17 reg),Auto,Diesel,Castleford ,10990
BMW,2 Series Active Tourer,2014.0,- 2.0 218d SE Active Tourer 4-Door,62,2014 (64 reg),Auto,Diesel,Sheffield ,8295
BMW,X3,2015.0,(65) - xDrive20d xLine 5dr,120,2015 (65 reg),Manual,Diesel,Dalton Magna ,7995
Kia,Picanto,2020.0,(69) - 1.25 3 5dr Petrol Hatchback,31,2020 (69 reg),Manual,Petrol,York ,9055
Volkswagen,Touareg,2019.0,(0W) - 3.0 TDI V6 R-Line Tech SUV 5dr Diesel Tiptronic 4Motion Euro 6 (s/s) (286 p,29,2019 (19 reg),Auto,Diesel,Oldham ,37949
Volkswagen,Polo,2007.0,(57) - 1.4 SE TDI 80 5dr,139,2007 (57 reg),Manual,Diesel,Rotherham ,1495
Audi,A6 Avant,2015.0,(65) - 2.0 TDI ultra S line S Tronic Euro 6 (s/s) 5dr,107,2015 (65 reg),Auto,Diesel,Shipley ,10495
Land Rover,Range Rover,1992.0,(K) - VOG EFI 89 5-Door,104,1992 (K),Auto,Petrol,Leeds ,19995
Vauxhall,Astra,2017.0,(17) - 1.0i Turbo ecoFLEX SRi Nav Euro 6 (s/s) 5dr,106,2017 (17 reg),Manual,Petrol,Sheffield ,4589
Audi,TT,2014.0,(63) - 2.0 TDI Black Edition S Tronic quattro Euro 5 3dr,118,2014 (63 reg),Auto,Diesel,Rotherham ,5990
Mercedes-Benz,AMG GT,2020.0,(70) - 4.0 V8 BiTurbo R (Premium) SpdS DCT Euro 6 (s/s) 2dr,5,2020 (70 reg),Auto,Petrol,Boroughbridge ,114995
BMW,4 Series,2015.0,- 2.0 418d SE Coupe 2-Door,33,2015 (65 reg),Manual,Diesel,"Holmfirth, Hepworth ",11195
MG,MG S5,2025.0,- 125kW SE EV 49kWh 5dr Auto,5,2025 (25 reg),Auto,Electric,Huddersfield ,21600
MG,MG S5,2025.0,- 125kW SE EV 49kWh 5dr Auto,4,2025 (25 reg),Auto,Electric,Huddersfield ,21399
MG,MG S5,2025.0,- 125kW SE EV 49kWh 5dr Auto,10,2025 (25 reg),Auto,Electric,Huddersfield ,21300
BMW,1 Series,2013.0,(62) - 2.0 118d Sport Auto Euro 5 (s/s) 3dr,94,2013 (62 reg),Auto,Diesel,Leeds ,5495
Nissan,Qashqai,2016.0,- 1.6 dCi Tekna 5dr Xtronic,52,2016 (16 reg),Auto,Diesel,Castleford ,10290
Ford,Kuga,2017.0,(17) - 2.0 TDCi Titanium SUV 5dr Diesel Manual Euro 6 (s/s) (150 ps),50,2017 (17 reg),Manual,Diesel,Leeds ,10495
Citroen,C4 Picasso,2009.0,(59) - 1.6HDi 16V VTR Plus 5dr [5 Seat],127,2009 (59 reg),Manual,Diesel,Manchester ,950
Vauxhall,Astra,2015.0,(15) - 1.6 CDTi 16V ecoFLEX 136 Design 5dr,130,2015 (15 reg),Manual,Diesel,Cleckheaton ,1690
Mazda,Mazda2,2016.0,(16) - 1.5 SKYACTIV-G SE-L Euro 6 (s/s) 5dr,70,2016 (16 reg),Manual,Petrol,Sheffield ,5495
Toyota,AYGO,2013.0,- 1.0L VVT-i Fire AC Hatchback 5dr Petrol Manual Euro 5 (67 bhp),58,2013 (13 reg),Manual,Petrol,Castleford ,3990
Mazda,Mazda6,2014.0,(64) - 2.2 SKYACTIV-D SE-L Nav Euro 6 (s/s) 4dr,79,2014 (64 reg),Manual,Diesel,Ashton-Under-Lyne ,3495
Infiniti,G,2012.0,(12) - 3.7 37 V6 S Premium Auto Euro 5 4dr,84,2012 (12 reg),Auto,Petrol,Rochdale ,4990
Volkswagen,Golf,2009.0,(09) - 2.0 TDi 140 GT 5dr,171,2009 (9 reg),Manual,Diesel,Northowram ,1195
Ford,Focus,2013.0,(63) - 1.6 TDCi Zetec S Euro 5 (s/s) 5dr,79,2013 (63 reg),Manual,Diesel,Leeds ,5495
Suzuki,Vitara,2015.0,(65) - 1.6 SZ-T SUV 5dr Petrol Manual Euro 6 (s/s) (120 ps),90,2015 (65 reg),Manual,Petrol,Leeds ,6295
Ford,Focus,2014.0,(64) - 1.6 TDCi 115 Zetec S 5dr,94,2014 (64 reg),Manual,Diesel,Dewsbury ,4290
Ford,Mondeo,2012.0,(12) - 1.6 TDCi Eco Zetec 5dr [Start Stop],185,2012 (12 reg),Manual,Diesel,Northowram ,600
BMW,X3,2006.0,(06) - 3.0d M Sport 5dr Auto,128,2006 (6 reg),Auto,Diesel,Bradford ,1495
Fiat,600,2025.0,(25) - 600 1.2 100hp Hybrid Edct-6 5-Door,0,2025 (25 reg),Auto,Hybrid,Chesterfield ,19890
MINI,Clubman,2008.0,- 1.6 Cooper D 5dr,110,2008 (8 reg),Manual,Diesel,Bradford ,1295
Skoda,Fabia,2021.0,(71) - 1.0 TSI Monte Carlo 5dr DSG,33,2021 (71 reg),Auto,Petrol,Leeds ,13689
Peugeot,107,2009.0,(59) - 1.0 12V Urban Euro 5 3dr,73,2009 (59 reg),Manual,Petrol,Worksop ,2000
Fiat,600,2025.0,(25) - 600 1.2 136hp Hybrid Edct-6 5-Door,0,2025 (25 reg),Auto,Hybrid,Chesterfield ,19990
Hyundai,i20,2010.0,(10) - 1.2 Classic 5dr,118,2010 (10 reg),Manual,Petrol,Heckmondwike ,1790
Fiat,600,2025.0,(25) - 600 1.2 100hp Hybrid Edct-6 5-Door,10,2025 (25 reg),Auto,Hybrid,Chesterfield ,19995
Mercedes-Benz,C-Class,2010.0,(10) - 2.1 C200 CDI BlueEfficiency Sport Euro 5 4dr,120,2010 (10 reg),Manual,Diesel,Oldham ,2675
Porsche,718 Cayman,2018.0,(18) - 2.0T Coupe 2dr Petrol PDK Euro 6 (s/s) (300 ps),20,2018 (18 reg),Auto,Petrol,Oldham ,39949
Land Rover,Range Rover Sport,2009.0,(09) - 3.6 TD V8 HSE 5dr,123,2009 (9 reg),Auto,Diesel,oldham ,3999
Kia,Sportage,2009.0,(09) - 2.0 XE 5dr 2WD,164,2009 (9 reg),Manual,Petrol,Northowram ,895
Citroen,C1,2012.0,(62) - 1.0i VT 3dr,47,2012 (62 reg),Manual,Petrol,Selby ,2999
Renault,Kadjar,2020.0,(20) - 1.3 TCe S Edition SUV 5dr Petrol Manual Euro 6 (s/s) (140 ps),70,2020 (20 reg),Manual,Petrol,Leeds ,9895
Mercedes-Benz,G-Class,2025.0,(25) - 3.0 G450d MHEV AMG Line (Premium Plus) G-Tronic 4WD Euro 6 (s/s) 5dr,350,2025 (25 reg),Auto,Hybrid,Boroughbridge ,161995
Ford,Fiesta,2018.0,(68) - 1.0T EcoBoost GPF Zetec Hatchback 5dr Petrol Manual Euro 6 (s/s) (100 ps),30,2018 (68 reg),Manual,Petrol,Leeds ,8995
Land Rover,Range Rover Sport,2010.0,(10) - 3.0 TD V6 HSE CommandShift 4WD Euro 4 5dr,126,2010 (10 reg),Auto,Diesel,Leeds ,4995
Vauxhall,Corsa,2015.0,(15) - 1.0T ecoFLEX Sting R 3dr,51,2015 (15 reg),Manual,Petrol,Selby ,4699
Mazda,Mazda2,2016.0,- 1.5 SKYACTIV-G Sport Black 5-Door,65,2016 (16 reg),Manual,Petrol,Sheffield ,6995
BMW,2 Series Active Tourer,2019.0,(19) - 1.5 218i Luxury MPV 5dr Petrol DCT Euro 6 (s/s) (140 ps) Low Mileage / Serv,33,2019 (19 reg),Auto,Petrol,Rochdale ,13650
BMW,X4,2019.0,(69) - xDrive X4 M Competition 5dr Step Auto £12000 OF CARBON,43,2019 (69 reg),Auto,Petrol,Bradford ,42990
Vauxhall,Corsa,2007.0,(07) - 1.4i 16V Design 5dr,85,2007 (7 reg),Manual,Petrol,Bradford ,995
Ford,Transit,2013.0,"(53) - 2.2 TDCi 260 Panel Van 5dr Diesel Manual FWD L1 H1 (189 g/km, 98 bhp)",166,2013 (13 reg),Manual,Diesel,Sheffield ,1250
Jaguar,XF,2014.0,- 3.0 d V6 Premium Luxury 4-Door,117,2014 (14 reg),Auto,Diesel,Goole ,5295
BMW,5 Series,2013.0,(13) - 520d M Sport 4dr Step Auto [Start Stop],126,2013 (13 reg),Auto,Diesel,Northowram ,3795
BMW,X5,2022.0,(22) - xDrive40d MHT M Sport 5dr Auto Diesel Estate,87,2022 (22 reg),Auto,Diesel,Old Whittington ,38544
Renault,Captur,2014.0,(64) - 1.5 dCi 90 Expression+ Energy 5dr,106,2014 (64 reg),Manual,Diesel,Bradford ,2999
SEAT,Leon,2018.0,- 1.4 TSI 125 FR Technology 5dr,50,2018 (18 reg),Manual,Petrol,Doncaster ,10489
Land Rover,Range Rover Sport,2020.0,(20) - 3.0 D300 HST SUV 5dr Diesel Auto 4WD (300 ps),40,2020 (20 reg),Auto,Diesel,Oldham ,39949
Hyundai,Ix35,2012.0,(62) - 2.0 CRDi Premium 5dr Auto,136,2012 (62 reg),Auto,Diesel,Ecclesfield ,3400
Ford,Fiesta,2013.0,(13) - 1.5 TDCi Zetec 5dr,126,2013 (13 reg),Manual,Diesel,Northowram ,2295
