Brand,Model,Year,Attrebutes,Miles(k miles),Registration,Control,Fuel,Location,Price(£)
Ford,Fiesta,2009.0,(09) - 1.4 Style + 5dr Auto,103,2009 (9 reg),Auto,Petrol,Mexborough ,3695
BMW,Z4,2007.0,- 2.0 Z4 2.0i Sport Roadster 2-Door,113,2007 (57 reg),Manual,Petrol,Batley ,2500
SEAT,Ibiza,2012.0,(62) - 1.6 TDI CR SE 5dr,130,2012 (62 reg),Manual,Diesel,Bradford ,1995
Vauxhall,Insignia,2016.0,(66) - 1.6 CDTi SRi VX Line Nav Euro 6 (s/s) 5dr,109,2016 (66 reg),Manual,Diesel,Oldham ,4295
BMW,M3,2021.0,(71) - M3 xDrive Competition M 4dr Step Auto,29,2021 (71 reg),Auto,Petrol,Bradford ,76990
Vauxhall,Astra,2013.0,- 1.6i 16V SRi 5dr,77,2013 (13 reg),Manual,Petrol,Castleford ,2990
Ford,Ranger,2024.0,- 2.0 TD EcoBlue Wildtrak Pickup Double Cab 4dr Diesel Auto 4WD Euro 6 (s/s),22,2024 (73 reg),Auto,Diesel,Sheffield ,43776
Audi,Q7,2015.0,(15) - 3.0 TDI V6 S line Plus Tiptronic quattro Euro 5 (s/s) 5dr,125,2015 (15 reg),Auto,Diesel,Leeds ,10995
Land Rover,Defender 110,2024.0,(24) - 5.0 P525 V8 Carpathian Edition Auto 4WD Euro 6 (s/s) 5dr,4,2024 (24 reg),Auto,Petrol,Boroughbridge ,114995
Audi,A1,2011.0,(61) - 1.6 TDI Sport 3dr,122,2011 (61 reg),Manual,Diesel,Doncaster ,3295
Land Rover,Defender,2006.0,(56) - County Station Wagon Td5 (9 seater),72,2006 (56 reg),Manual,Diesel,"Cleckheaton, Scholes ",19990
Mercedes-Benz,SLK,2002.0,(02) - SLK 230K 2dr Tip Auto,73,2002 (2 reg),Auto,Petrol,Dalton Magna ,4995
BMW,M3,2005.0,(55) - 3.2i Euro 4 2dr,89,2005 (55 reg),Manual,Petrol,Leeds ,19995
Mercedes-Benz,C-Class,2014.0,(14) - 6.2 V8 (507 PS) C63 AMG EDITION 507 SpdS MCT 5DR + WOW !!! VERY RARE CAR !,82,2014 (14 reg),Auto,Petrol,Bradford ,44990
Volvo,C30,2010.0,(60) - 1.6 D2 R-Design Sports Coupe Euro 5 3dr,146,2010 (60 reg),Manual,Diesel,Wakefield ,2195
Mercedes-Benz,C-Class,2015.0,(15) - 2.1 C220 BlueTEC AMG Line (Premium) G-Tronic+ Euro 6 (s/s) 4dr,135,2015 (15 reg),Auto,Diesel,Wakefield ,7995
Peugeot,107,2010.0,(10) - 1.0 Urban 3dr,110,2010 (10 reg),Manual,Petrol,Wakefield ,1695
Ford,Ka,2010.0,(60) - 1.2 Titanium Euro 4 3dr,83,2010 (60 reg),Manual,Petrol,Cleckheaton ,2250
Peugeot,107,2007.0,(07) - 1.0 Sport XS 3dr,97,2007 (7 reg),Manual,Petrol,Wakefield ,1490
Land Rover,Defender 110,2023.0,- 3.0 D250 MHEV Hard Top SUV 5dr Diesel Auto 4WD MWB Euro 6 (s/s) (250 ps),25,2023 (72 reg),Auto,Diesel,Sheffield ,52980
Land Rover,Defender,2025.0,(25) - 3.0 D350 X-Dynamic HSE 110 5dr Auto Diesel Estate,913,2025 (25 reg),Auto,Diesel,Old Whittington ,89844
Jaguar,F-Type,2019.0,(69) - 5.0 P450 Supercharged V8 R-Dynamic 2dr Auto,33,2019 (69 reg),Auto,Petrol,Harrogate ,41990
Saab,9-3,2007.0,(07) - 1.8t Vector 2dr,165,2007 (7 reg),Manual,Petrol,Cleckheaton ,990
Toyota,RAV4,2007.0,(07) - 2.0 XT-R 4WD 5dr,134,2007 (7 reg),Manual,Petrol,Greater Manchester ,2995
Honda,Jazz,2010.0,(10) - 1.4 i-VTEC ES i SHIFT Euro 4 5dr,70,2010 (10 reg),Auto,Petrol,Cleckheaton ,3750
Nissan,Qashqai,2014.0,(64) - 1.5 dCi Tekna 2WD Euro 5 (s/s) 5dr,83,2014 (64 reg),Manual,Diesel,Mexborough ,6395
