Brand,Model,Year,Miles(k miles),Registration,Control,Fuel,Location,Price(£),EngineSize,Doors,Emission,ModelFull,logPrice
BMW,1 Series,2011,159,2011 (11 reg),Auto,Diesel,Wakefield ,2995,2.0,2,Euro 5,118d M Sport Steptronic,8.005033344637111
Land Rover,Range Rover,2021,45,2021 (21 reg),Auto,Diesel,Oldham ,49949,3.0,5,Euro 6 (s/s),D300 MHEV Autobiography Auto 4WD (300 ps),10.8187777840767
BMW,3 Series,2016,109,2016 (66 reg),Auto,Diesel,Sheffield ,14995,3.2,5,Unknown,M Sport Step Auto ***AMAZING EXAMPLE***,9.615538777855802
Porsche,Cayenne,2013,80,2013 (62 reg),Auto,Diesel,Rotherham ,13490,3.0,5,Euro 5 (s/s),TD V6 Tiptronic 4WD,9.509778075438817
BMW,i4,2025,101,2025 (25 reg),Auto,Electric,Harrogate ,65760,3.9,5,Unknown,- 250kW eDrive40 M Sport 8kWh Auto,11.09378223642709
Toyota,Yaris,2017,111,2017 (17 reg),Manual,Petrol,Halifax ,5995,1.5,5,Euro 6,VVT-i Icon Tech,8.698847859222488
Ford,Ranger,2023,35,2023 (23 reg),Auto,Diesel,Sheffield ,33480,2.0,4,Euro 6 (s/s),- EcoBlue Wildtrak Pickup Double Cab Diesel Auto 4WD (21,10.41873339273561
Porsche,Cayenne,2012,93,2012 (12 reg),Auto,Diesel,OLDHAM ,12795,3.0,5,Unknown,- TD V6,9.45688790106941
Land Rover,Defender,2020,91,2020 (70 reg),Auto,Diesel,Doncaster ,37975,2.0,5,Unknown,"- D240 S 110 Auto *1 Former Keeper, FSH & MOT 03/26*",10.544709660231154
Land Rover,Range Rover,2024,3,2024 (24 reg),Auto,Hybrid,Sheffield ,99980,1.6,5,Unknown,- HSE SLIDING 1 OWNER PANORAMIC ROOF,11.512735446917942
SEAT,Leon,2015,84,2015 (65 reg),Manual,Diesel,Cleckheaton ,6750,2.0,5,Euro 5 (s/s),TDI CR FR,8.81744592104187
Mercedes-Benz,CLS,2013,175,2013 (63 reg),Auto,Diesel,Armley ,5895,1.6,4,Unknown,CLS 250 CDI BlueEFFICIENCY AMG Sport Tip Auto,8.682029433869172
Citroen,C3,2004,95,2004 (4 reg),Manual,Petrol,Keighley ,795,1.4,5,Unknown,i LX,6.679599185844383
Fiat,500,2012,91,2012 (61 reg),Auto,Petrol,Mexborough ,3795,1.2,3,Unknown,Lounge Dualogic [Start Stop],8.241703159729818
Ford,Ranger,2024,28,2024 (73 reg),Auto,Diesel,Sheffield ,38376,2.0,4,Euro 6 (s/s),- TD EcoBlue Wildtrak Pickup Double Cab Diesel Auto 4WD,10.555213600795284
Ford,Mondeo,2013,132,2013 (13 reg),Manual,Diesel,Rotherham ,2790,1.6,5,Euro 5 (s/s),TDCi ECOnetic Titanium X,7.934155233536322
